Ethnicity,Mean Scale Score
Asian,s
Black,646
Hispanic,652
White,s
Asian,s
Black,s
Hispanic,642
White,s
Asian,s
Black,632
Hispanic,650
White,s
Asian,s
Black,649
Hispanic,641
Asian,s
Black,s
Hispanic,656
White,s
Asian,s
Black,s
Hispanic,646
Asian,s
Black,643
Hispanic,656
Asian,s
Black,621
Hispanic,623
Asian,s
Black,645
Hispanic,650
White,s
Asian,s
Black,609
Hispanic,639
White,s
Asian,s
Black,612
Hispanic,641
White,s
Asian,s
Black,643
Hispanic,650
Asian,s
Black,s
Hispanic,659
White,s
Asian,s
Black,653
Hispanic,656
White,s
Asian,s
Black,631
Hispanic,622
White,s
Asian,s
Black,643
Hispanic,637
Asian,s
Black,641
Hispanic,647
White,s
Asian,s
Black,659
Hispanic,657
White,s
Asian,s
Black,644
Hispanic,658
White,s
Asian,s
Black,659
Hispanic,655
Asian,s
Black,s
Hispanic,658
White,s
Black,643
Hispanic,636
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,650
Black,659
Hispanic,653
White,s
Asian,657
Black,649
Hispanic,657
White,s
Asian,s
Black,644
Hispanic,650
White,s
Asian,s
Black,658
Hispanic,652
White,s
Asian,662
Black,658
Hispanic,658
White,s
Asian,691
Black,665
Hispanic,662
White,667
Asian,s
Black,653
Hispanic,647
White,s
Asian,s
Black,657
Hispanic,657
Asian,655
Black,651
Hispanic,654
White,s
Asian,s
Black,650
Hispanic,640
White,s
Asian,s
Black,644
Hispanic,648
White,s
Asian,s
Black,652
Hispanic,642
White,s
Asian,s
Black,677
Hispanic,658
White,s
Asian,s
Black,660
Hispanic,661
White,s
Asian,s
Black,665
Hispanic,658
White,s
Asian,s
Black,672
Hispanic,668
Asian,s
Black,652
Hispanic,647
White,s
Asian,s
Black,656
Hispanic,653
White,s
Asian,685
Black,645
Hispanic,655
White,s
Asian,680
Black,675
Hispanic,671
White,s
Asian,673
Black,677
Hispanic,665
White,s
Asian,s
Black,665
Hispanic,668
White,s
Asian,s
Black,668
Hispanic,666
White,s
Asian,s
Black,642
Hispanic,646
White,675
Hispanic,s
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,672
Black,663
Hispanic,661
White,668
Asian,661
Black,663
Hispanic,662
White,670
Asian,693
Black,s
Hispanic,653
White,s
Asian,661
Black,s
Hispanic,656
White,s
Asian,671
Black,s
Hispanic,661
White,s
Asian,680
Black,661
Hispanic,653
White,s
Asian,660
Black,654
Hispanic,655
Asian,654
Black,653
Hispanic,658
Asian,660
Black,646
Hispanic,654
White,s
Asian,676
Black,s
Hispanic,663
Asian,669
Black,651
Hispanic,653
White,s
Asian,669
Black,659
Hispanic,661
White,s
Asian,680
Black,s
Hispanic,663
White,s
Asian,675
Black,657
Hispanic,665
White,s
Asian,666
Black,668
Hispanic,652
Asian,676
Black,655
Hispanic,656
Asian,674
Black,s
Hispanic,651
White,s
Asian,669
Black,s
Hispanic,658
Asian,677
Black,668
Hispanic,661
White,s
Asian,678
Black,668
Hispanic,667
White,s
Asian,697
Black,668
Hispanic,676
White,s
Asian,676
Black,668
Hispanic,662
White,s
Asian,663
Black,663
Hispanic,656
Asian,674
Black,644
Hispanic,652
White,s
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,665
Black,664
Hispanic,657
White,s
Asian,666
Black,654
Hispanic,655
White,s
Asian,s
Black,644
Hispanic,659
Asian,s
Black,649
Hispanic,641
Asian,s
Black,643
Hispanic,661
Asian,s
Black,662
Hispanic,662
White,s
Black,666
Hispanic,666
White,s
Black,s
Hispanic,672
Asian,s
Black,656
Hispanic,653
White,s
Black,618
Hispanic,631
White,s
Asian,s
Black,649
Hispanic,634
Asian,s
Black,645
Hispanic,640
White,s
Asian,s
Black,s
Hispanic,664
White,s
Asian,s
Black,653
Hispanic,658
Asian,s
Black,680
Hispanic,665
White,s
Black,665
Hispanic,673
Asian,s
Black,654
Hispanic,643
White,s
Black,626
Hispanic,635
Asian,s
Black,647
Hispanic,648
Asian,s
Black,670
Hispanic,664
White,s
Asian,s
Black,s
Hispanic,663
White,s
Asian,s
Black,663
Hispanic,661
Asian,s
Black,671
Hispanic,662
White,s
Asian,s
Black,620
Hispanic,626
White,s
Asian,s
Black,625
Hispanic,646
White,s
Asian,s
Black,637
Hispanic,641
White,s
Asian,660
Black,647
Hispanic,647
White,s
Asian,s
Black,653
Hispanic,652
Asian,s
Black,664
Hispanic,654
White,s
Asian,s
Black,654
Hispanic,656
White,s
Asian,s
Black,621
Hispanic,636
Black,645
Hispanic,629
White,s
Asian,s
Black,654
Hispanic,649
White,s
Asian,s
Black,647
Hispanic,648
White,s
Asian,s
Black,650
Hispanic,652
White,s
Asian,s
Black,656
Hispanic,655
Asian,s
Black,666
Hispanic,660
Asian,s
Black,630
Hispanic,632
White,s
Asian,s
Black,629
Hispanic,642
Black,639
Hispanic,634
White,s
Asian,s
Black,650
Hispanic,647
White,s
Asian,s
Black,634
Hispanic,636
Asian,s
Black,640
Hispanic,643
White,s
Asian,s
Black,649
Hispanic,650
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,663
Black,660
Hispanic,657
White,s
Asian,666
Black,659
Hispanic,658
White,s
Asian,s
Black,645
Hispanic,640
Asian,s
Black,663
Hispanic,645
White,s
Asian,s
Black,654
Hispanic,643
White,s
Asian,s
Black,632
Hispanic,660
White,s
Asian,s
Black,s
Hispanic,655
Asian,s
Black,s
Hispanic,657
White,s
Black,665
Hispanic,659
White,s
Asian,s
Black,s
Hispanic,646
White,s
Asian,s
Black,643
Hispanic,649
Asian,s
Black,656
Hispanic,655
White,s
Asian,s
Black,649
Hispanic,643
White,s
Asian,s
Black,651
Hispanic,668
White,s
Black,s
Hispanic,675
Asian,s
Black,s
Hispanic,664
White,s
Asian,s
Black,s
Hispanic,644
Asian,s
Black,s
Hispanic,654
White,s
Asian,s
Black,656
Hispanic,654
Asian,s
Black,669
Hispanic,667
White,s
Asian,s
Black,s
Hispanic,658
White,s
Asian,s
Black,662
Hispanic,671
White,s
Black,s
Hispanic,661
White,s
Asian,s
Black,s
Hispanic,645
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,s
Black,671
Hispanic,667
White,s
Asian,s
Black,668
Hispanic,661
White,s
Asian,s
Black,648
Hispanic,666
Asian,s
Black,654
Hispanic,663
Asian,s
Black,665
Hispanic,658
Asian,s
Black,653
Hispanic,652
Asian,s
Black,676
Hispanic,654
Asian,s
Black,653
Hispanic,659
Asian,s
Black,647
Hispanic,654
White,s
Asian,s
Black,655
Hispanic,648
White,s
Asian,s
Black,649
Hispanic,647
Asian,s
Black,639
Hispanic,658
Asian,s
Black,669
Hispanic,671
Asian,s
Black,650
Hispanic,656
Asian,s
Black,663
Hispanic,651
Asian,s
Black,662
Hispanic,661
Asian,s
Black,654
Hispanic,635
White,s
Asian,s
Black,668
Hispanic,648
White,s
Asian,s
Black,660
Hispanic,663
Asian,s
Black,658
Hispanic,666
Black,s
Hispanic,662
Asian,s
Black,665
Hispanic,661
White,s
Asian,s
Black,668
Hispanic,660
Black,629
Hispanic,630
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
Asian,
Black,
Hispanic,
Asian,
Black,
Hispanic,
Asian,657
Black,661
Hispanic,656
White,s
Asian,675
Black,657
Hispanic,659
White,s
Asian,714
Black,679
Hispanic,680
White,s
Asian,656
Black,652
Hispanic,673
White,s
Asian,675
Black,669
Hispanic,670
White,s
Asian,685
Black,676
Hispanic,675
White,s
Asian,666
Black,658
Hispanic,669
White,717
Asian,671
Black,657
Hispanic,663
White,686
Asian,s
Black,659
Hispanic,652
White,676
Asian,672
Black,653
Hispanic,663
White,666
Asian,690
Black,655
Hispanic,661
White,667
Asian,654
Black,659
Hispanic,659
White,s
Asian,676
Black,665
Hispanic,670
White,s
Asian,687
Black,662
Hispanic,667
White,s
Asian,678
Black,654
Hispanic,672
White,678
Asian,682
Black,662
Hispanic,667
White,699
Asian,674
Black,677
Hispanic,666
White,s
Asian,683
Black,662
Hispanic,669
White,s
Asian,678
Black,652
Hispanic,666
White,s
Asian,673
Black,659
Hispanic,673
White,s
Asian,684
Black,661
Hispanic,670
White,s
Asian,684
Black,662
Hispanic,668
White,s
Asian,672
Black,663
Hispanic,670
White,677
Asian,676
Black,641
Hispanic,656
White,s
Asian,s
Black,650
Hispanic,650
White,s
Asian,s
Black,638
Hispanic,646
White,s
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,677
Black,657
Hispanic,668
White,683
Asian,674
Black,662
Hispanic,665
White,684
Asian,s
Black,633
Hispanic,642
Asian,671
Black,650
Hispanic,657
White,s
Asian,666
Black,635
Hispanic,641
Asian,677
Black,644
Hispanic,654
White,s
Asian,655
Black,657
Hispanic,651
Asian,650
Black,654
Hispanic,654
Asian,660
Black,657
Hispanic,659
White,s
Asian,s
Black,657
Hispanic,652
Asian,642
Black,647
Hispanic,643
Asian,667
Black,645
Hispanic,655
White,s
Asian,666
Black,646
Hispanic,646
Asian,677
Black,654
Hispanic,663
White,s
Asian,677
Black,661
Hispanic,662
Asian,663
Black,672
Hispanic,660
Asian,649
Black,626
Hispanic,646
White,s
Asian,639
Black,653
Hispanic,653
Asian,654
Black,653
Hispanic,650
Asian,s
Black,664
Hispanic,679
White,s
Asian,671
Black,658
Hispanic,654
Asian,669
Black,665
Hispanic,663
White,s
Asian,669
Black,659
Hispanic,656
Asian,672
Black,639
Hispanic,654
White,s
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,662
Black,661
Hispanic,660
White,s
Asian,663
Black,661
Hispanic,659
White,s
Asian,s
Black,644
Hispanic,646
Asian,s
Black,630
Hispanic,648
Asian,s
Black,667
Hispanic,674
White,s
Asian,s
Black,653
Hispanic,653
Asian,s
Black,649
Hispanic,679
Asian,s
Black,647
Hispanic,648
White,s
Asian,s
Black,s
Hispanic,658
White,s
Asian,s
Black,626
Hispanic,636
White,s
Black,650
Hispanic,636
Asian,s
Black,650
Hispanic,645
Asian,s
Black,667
Hispanic,665
White,s
Asian,s
Black,661
Hispanic,667
Asian,s
Black,660
Hispanic,655
Asian,s
Black,645
Hispanic,655
White,s
Asian,s
Black,631
Hispanic,628
White,s
Asian,s
Black,644
Hispanic,649
White,s
Black,651
Hispanic,648
Asian,s
Black,652
Hispanic,658
Asian,s
Black,659
Hispanic,651
White,s
Asian,s
Black,661
Hispanic,646
Asian,s
Black,664
Hispanic,658
Asian,s
Black,639
Hispanic,650
White,s
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,661
Black,656
Hispanic,650
White,s
Asian,652
Black,652
Hispanic,656
White,s
Asian,s
Black,638
Hispanic,631
White,s
Asian,s
Black,s
Hispanic,640
Asian,s
Black,618
Hispanic,641
Asian,s
Black,s
Hispanic,655
White,s
Asian,s
Black,s
Hispanic,658
White,s
Black,639
Hispanic,658
White,s
Asian,s
Black,s
Hispanic,653
Asian,s
Black,s
Hispanic,633
White,s
Asian,s
Black,629
Hispanic,638
Black,s
Black,620
Hispanic,648
Asian,s
Black,624
Hispanic,645
White,s
Asian,s
Black,s
Hispanic,653
Asian,s
Black,s
Hispanic,658
White,s
Asian,s
Black,638
Hispanic,653
Asian,s
Black,609
Hispanic,643
White,s
Asian,s
Black,s
Hispanic,643
White,s
Asian,s
Black,647
Hispanic,647
White,s
Asian,s
Black,s
Hispanic,663
Asian,s
Black,s
Hispanic,654
Asian,s
Black,s
Hispanic,655
Asian,s
Black,s
Hispanic,659
White,s
Asian,s
Black,627
Hispanic,634
White,s
Asian,s
Black,630
Hispanic,s
Hispanic,645
White,s
Asian,638
Black,640
Hispanic,650
White,s
Asian,s
Black,654
Hispanic,656
White,s
Asian,s
Black,660
Hispanic,655
Asian,s
Black,645
Hispanic,650
Asian,s
Black,658
Hispanic,657
White,s
Asian,s
Black,625
Hispanic,630
White,s
Asian,s
Black,642
Hispanic,650
White,s
Asian,s
Black,642
Hispanic,654
White,s
Asian,s
Black,s
Hispanic,657
Asian,s
Black,657
Hispanic,656
White,s
Asian,s
Black,663
Hispanic,657
Asian,s
Black,646
Hispanic,652
Asian,643
Black,625
Hispanic,633
White,s
Asian,s
Black,636
Hispanic,636
White,s
Asian,s
Black,636
Hispanic,645
White,s
Asian,s
Black,632
Hispanic,647
White,s
Asian,644
Black,647
Hispanic,650
White,s
Asian,s
Black,649
Hispanic,646
White,s
Asian,s
Black,655
Hispanic,648
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,663
Black,647
Hispanic,653
White,s
Asian,658
Black,651
Hispanic,653
White,s
Black,644
Hispanic,647
White,s
Asian,s
Black,643
Hispanic,637
Asian,s
Black,655
Hispanic,658
White,s
Asian,s
Black,675
Hispanic,656
White,s
Asian,s
Black,646
Hispanic,655
Asian,s
Black,651
Hispanic,655
White,s
Asian,s
Black,s
Hispanic,659
Asian,s
Black,632
Hispanic,645
White,s
Black,645
Hispanic,637
White,s
Black,640
Hispanic,641
Asian,s
Black,642
Hispanic,655
White,s
Asian,s
Black,667
Hispanic,662
White,s
Asian,s
Black,s
Hispanic,666
White,s
Asian,673
Black,655
Hispanic,664
White,s
Asian,s
Black,627
Hispanic,631
White,s
Asian,s
Black,641
Hispanic,648
Asian,s
Black,653
Hispanic,654
White,s
Black,659
Hispanic,661
Asian,s
Black,656
Hispanic,667
White,s
Asian,s
Black,666
Hispanic,662
White,s
Asian,s
Black,666
Hispanic,664
White,s
Black,633
Hispanic,637
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
White,s
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,660
Black,657
Hispanic,661
White,660
Asian,666
Black,660
Hispanic,662
White,s
Asian,699
Black,s
Hispanic,s
White,s
Asian,693
Black,684
Hispanic,s
White,s
Asian,686
Black,s
Hispanic,s
White,s
Asian,693
Black,s
Hispanic,s
White,s
Asian,675
Black,s
Hispanic,s
White,680
Asian,678
Hispanic,s
White,683
Asian,678
Black,s
Hispanic,s
White,s
Asian,685
Black,s
Hispanic,s
White,s
Asian,687
Black,s
Hispanic,s
White,s
Asian,693
Black,s
Hispanic,s
Asian,683
Black,s
Hispanic,s
White,705
Asian,688
Black,s
Hispanic,s
White,s
Asian,695
Black,s
Hispanic,s
White,s
Asian,694
Hispanic,s
White,701
Asian,691
Black,s
White,s
Asian,684
Black,s
Hispanic,s
Asian,691
Black,s
Hispanic,s
White,s
Asian,704
Black,s
Hispanic,s
White,s
Asian,705
Black,s
Hispanic,s
White,s
Asian,682
Black,s
Hispanic,s
White,s
Asian,684
Black,s
Hispanic,s
White,s
Asian,684
Black,s
Hispanic,s
White,s
Asian,679
Black,s
White,s
Asian,676
Black,s
Hispanic,s
Asian,686
Black,s
Hispanic,s
White,s
Asian,679
Black,s
Hispanic,s
White,s
Asian,673
Black,s
Hispanic,s
White,s
Asian,674
Hispanic,s
White,s
Asian,682
Black,s
White,s
Asian,681
Black,s
Hispanic,s
White,s
Asian,682
Black,s
White,s
Asian,670
Black,s
Hispanic,s
White,s
Asian,686
Black,s
Hispanic,s
White,s
Asian,680
Asian,680
Hispanic,s
White,s
Asian,679
Black,s
White,s
Asian,673
Black,s
Hispanic,s
White,s
Asian,677
Black,s
White,s
Asian,665
Black,s
Hispanic,s
White,s
Asian,669
Hispanic,s
White,s
Asian,680
Black,s
Hispanic,s
White,s
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,680
Black,679
Hispanic,677
White,688
Asian,682
Black,683
Hispanic,678
White,689
Asian,s
Black,643
Hispanic,648
Black,626
Hispanic,651
Black,624
Hispanic,649
Asian,s
Black,653
Hispanic,645
Black,644
Hispanic,642
Black,658
Hispanic,653
Asian,s
Black,s
Hispanic,655
White,s
Black,628
Hispanic,630
Black,638
Hispanic,655
Black,650
Hispanic,647
Asian,s
Black,669
Hispanic,662
Asian,s
Black,664
Hispanic,661
White,s
Black,675
Hispanic,662
Black,673
Hispanic,661
Asian,s
Black,629
Hispanic,642
Black,641
Hispanic,644
Black,s
Hispanic,670
Black,661
Hispanic,667
Asian,s
Black,660
Hispanic,660
Asian,s
Black,664
Hispanic,666
White,s
Black,659
Hispanic,659
White,s
Black,633
Hispanic,633
White,s
Asian,s
Black,647
