Gender,Mean Scale Score
Female,655
Male,643
Female,633
Male,636
Female,640
Male,650
Female,649
Male,642
Female,648
Male,655
Female,642
Male,650
Female,645
Male,661
Female,620
Male,621
Female,650
Male,645
Female,639
Male,630
Female,627
Male,643
Female,644
Male,650
Female,663
Male,658
Female,665
Male,650
Female,627
Male,623
Female,636
Male,637
Female,637
Male,649
Female,659
Male,657
Female,653
Male,658
Female,659
Male,654
Female,657
Male,659
Female,638
Male,640
Female,
Male,
Female,
Male,
Female,
Male,
Female,
Male,
Female,
Male,
Female,654
Male,654
Female,653
Male,656
Female,658
Male,648
Female,662
Male,650
Female,659
Male,658
Female,669
Male,666
Female,659
Male,651
Male,s
Female,657
Male,658
Female,658
Male,650
Female,649
Male,641
Female,654
Male,645
Female,652
Male,642
Female,665
Male,663
Female,665
Male,662
Male,s
Female,672
Male,651
Female,672
Male,668
Female,655
Male,650
Female,657
Male,651
Female,657
Male,654
Female,680
Male,668
Female,672
Male,668
Male,s
Female,670
Male,665
Female,672
Male,663
Female,643
Male,653
Female,s
Female,
Male,
Female,
Male,
Female,
Male,
Female,
Male,
Female,
Male,
Male,
Female,667
Male,658
Female,668
Male,658
Female,672
Male,659
Female,660
Male,652
Female,669
Male,655
Female,665
Male,655
Female,654
Male,659
Male,s
Female,656
Male,657
Female,656
Male,653
Female,664
Male,669
Female,658
Male,656
Female,667
Male,656
Female,671
Male,659
Female,670
Male,664
Female,662
Male,654
Female,663
Male,658
Female,653
Male,662
Female,662
Male,662
Female,666
Male,666
Female,669
Male,671
Female,685
Male,674
Female,667
Male,666
Female,661
Male,658
Female,659
Male,655
Female,
Male,
Female,
Male,
Female,
Male,
Female,
Male,
Female,
Male,
Male,
Female,662
Male,659
Female,660
Male,656
Female,669
Male,645
Female,645
Male,644
Female,665
Male,655
Female,670
Male,658
Female,665
Male,669
Female,672
Male,673
Female,652
Male,659
Female,631
Male,627
Female,666
Male,624
Female,647
Male,636
Female,665
Male,664
Female,658
Male,658
Female,671
Male,667
Female,675
Male,668
Female,640
Male,650
Female,625
Male,636
Female,661
Male,643
Female,670
Male,662
Female,667
Male,662
Female,663
Male,663
Female,667
Male,665
Female,632
Male,622
Female,643
Male,643
Female,643
Male,638
Female,649
Male,648
Female,655
Male,650
Female,658
Male,656
Female,656
Male,656
Female,643
Male,625
Female,640
Male,628
Female,652
Male,647
Female,649
Male,651
Female,656
Male,650
Female,660
Male,650
Female,663
Male,660
Female,644
Male,617
Female,642
Male,636
Female,641
Male,630
Female,649
Male,645
Female,630
Male,641
Female,646
Male,642
Female,654
Male,646
Female,
Male,
Female,
Male,
Female,
Male,
Female,
Male,
Female,
Male,
Female,661
Male,657
Female,660
Male,658
Female,651
Male,633
Female,666
Male,641
Female,650
Male,647
Female,657
Male,652
Female,s
Male,656
Female,659
Male,655
Female,648
Male,662
Female,654
Male,659
Female,647
Male,663
Female,664
Male,651
Female,s
Male,649
Female,662
Male,664
Female,s
Male,676
Female,669
Male,662
Female,654
Male,630
Female,646
Male,658
Female,657
Male,655
Female,668
Male,672
Female,656
Male,663
Female,671
Male,666
Female,673
Male,661
Female,666
Male,645
Female,
Male,
Female,
Male,
Female,
Male,
Female,
Male,
Female,
Male,
Female,670
Male,666
Female,660
Male,661
Female,666
Male,642
Female,669
Male,658
Female,662
Male,655
Female,662
Male,647
Female,663
Male,652
Female,659
Male,654
Female,652
Male,654
Female,649
Male,650
Female,650
Male,645
Female,661
Male,648
Female,672
Male,669
Female,666
Male,648
Female,647
Male,657
Female,669
Male,659
Female,628
Male,653
Female,657
Male,652
Female,669
Male,656
Female,665
Male,663
Female,661
Male,663
Female,667
Male,659
Female,659
Male,663
Female,631
Male,629
Female,
Male,
Female,
Male,
Female,
Male,
Female,
Male,
Female,
Male,
Female,657
Male,657
Female,660
Male,659
Female,689
Male,686
Female,666
Male,669
Female,673
Male,670
Female,679
Male,676
Female,680
Male,670
Female,676
Male,663
Female,666
Male,658
Female,666
Male,660
Female,664
Male,668
Female,657
Male,659
Female,677
Male,662
Female,672
Male,668
Female,676
Male,667
Female,680
Male,671
Female,666
Male,671
Female,672
Male,672
Female,670
Male,663
Female,671
Male,670
Female,683
Male,657
Female,669
Male,673
Female,674
Male,666
Female,664
Male,649
Female,648
Male,650
Female,642
Male,653
Female,
Male,
Female,
Male,
Female,
Male,
Female,
Male,
Female,
Male,
Female,674
Male,667
Female,674
Male,666
Female,641
Male,637
Female,658
Male,657
Female,642
Male,646
Female,658
Male,652
Female,653
Male,654
Male,s
Female,652
Male,653
Female,661
Male,656
Female,666
Male,645
Female,643
Male,644
Female,653
Male,658
Female,653
Male,645
Female,664
Male,662
Female,664
Male,666
Female,662
Male,664
Female,637
Male,641
Female,656
Male,646
Female,648
Male,657
Female,679
Male,678
Female,659
Male,657
Female,665
Male,665
Female,658
Male,662
Female,642
Male,655
Female,
Male,
Female,
Male,
Female,
Male,
Female,
Male,
Female,
Male,
Male,
Female,660
Male,661
Female,660
Male,660
Female,653
Male,637
Female,645
Male,638
Female,670
Male,667
Female,659
Male,659
Female,668
Male,673
Female,641
Male,655
Female,651
Male,657
Female,636
Male,636
Female,656
Male,629
Female,654
Male,638
Female,669
Male,663
Female,669
Male,669
Female,657
Male,653
Female,641
Male,664
Female,628
Male,634
Female,649
Male,644
Female,654
Male,645
Female,657
Male,651
Female,655
Male,656
Female,661
Male,649
Female,659
Male,658
Female,651
Male,644
Female,
Male,
Female,
Male,
Female,
Male,
Female,
Male,
Female,
Male,
Female,653
Male,653
Female,651
Male,661
Female,636
Male,630
Female,637
Male,638
Female,639
Male,637
Female,664
Male,645
Female,659
Male,658
Female,650
Male,656
Female,654
Male,651
Female,638
Male,630
Female,640
Male,634
Female,639
Male,644
Female,646
Male,635
Female,653
Male,650
Female,668
Male,648
Female,647
Male,651
Female,646
Male,630
Female,653
Male,641
Female,649
Male,646
Female,658
Male,667
Female,657
Male,648
Female,655
Male,653
Female,661
Male,659
Female,633
Male,629
Female,646
Male,634
Female,653
Male,646
Female,655
Male,656
Female,657
Male,655
Female,652
Male,649
Female,658
Male,655
Female,629
Male,630
Female,651
Male,643
Female,660
Male,641
Female,659
Male,655
Female,658
Male,654
Male,s
Female,658
Male,658
Female,656
Male,648
Female,637
Male,630
Female,640
Male,633
Female,646
Male,641
Female,648
Male,640
Female,652
Male,647
Female,648
Male,644
Female,649
Male,649
Female,
Male,
Female,
Male,
Female,
Male,
Female,
Male,
Female,
Male,
Male,
Female,654
Male,651
Female,654
Male,652
Female,642
Male,652
Female,648
Male,633
Female,664
Male,651
Female,664
Male,658
Female,655
Male,652
Female,657
Male,650
Female,659
Male,660
Female,642
Male,637
Female,638
Male,640
Female,645
Male,637
Female,658
Male,642
Female,664
Male,661
Female,668
Male,660
Female,669
Male,656
Female,631
Male,629
Female,648
Male,642
Female,655
Male,651
Female,659
Male,662
Female,671
Male,658
Female,663
Male,663
Female,665
Male,663
Female,641
Male,633
Female,
Male,
Female,
Male,
Female,
Male,
Female,
Male,
Female,
Male,
Female,663
Male,658
Female,664
Male,660
Female,698
Male,696
Female,699
Male,690
Female,691
Male,686
Female,696
Male,690
Female,675
Male,680
Female,678
Male,678
Female,678
Male,677
Female,691
Male,681
Female,694
Male,682
Female,698
Male,690
Female,684
Male,686
Female,692
Male,687
Female,694
Male,696
Female,695
Male,694
Female,694
Male,688
Female,683
Male,683
Female,691
Male,689
Female,704
Male,705
Female,704
Male,707
Female,685
Male,680
Female,685
Male,683
Female,688
Male,679
Female,683
Male,678
Female,676
Male,675
Female,699
Male,676
Female,686
Male,675
Female,671
Male,675
Female,677
Male,672
Female,684
Male,678
Female,687
Male,676
Female,686
Male,680
Female,677
Male,667
Female,698
Male,679
Female,680
Male,681
Female,680
Male,680
Female,681
Male,680
Female,679
Male,668
Female,676
Male,681
Female,674
Male,661
Female,675
Male,666
Female,679
Male,682
Female,
Male,
Female,
Male,
Female,
Male,
Female,
Male,
Female,
Male,
Female,682
Male,680
Female,683
Male,681
Female,648
Male,644
Female,650
Male,635
Female,614
Male,649
Female,649
Male,649
Female,644
Male,641
Female,647
Male,661
Female,655
Male,657
Female,625
Male,635
Female,659
Male,641
Female,652
Male,644
Female,652
Male,681
Female,655
Male,671
Female,666
Male,671
Female,664
Male,665
Female,629
Male,645
