DBN,Demographic,Mean Scale Score
01M015,All Students,651
01M015,All Students,635
01M015,All Students,646
01M015,All Students,644
01M015,All Students,652
01M015,All Students,647
01M015,All Students,651
01M015,All Students,621
01M015,All Students,648
01M015,All Students,633
01M015,All Students,637
01M015,All Students,647
01M015,All Students,660
01M015,All Students,655
01M015,All Students,625
01M015,All Students,637
01M015,All Students,643
01M015,All Students,658
01M015,All Students,656
01M015,All Students,656
01M015,All Students,658
01M015,All Students,639
01M015,All Students,
01M015,All Students,
01M015,All Students,
01M015,All Students,
01M015,All Students,
01M015,All Students,654
01M015,All Students,655
01M019,All Students,654
01M019,All Students,656
01M019,All Students,659
01M019,All Students,668
01M019,All Students,655
01M019,All Students,657
01M019,All Students,654
01M019,All Students,644
01M019,All Students,650
01M019,All Students,646
01M019,All Students,664
01M019,All Students,664
01M019,All Students,663
01M019,All Students,670
01M019,All Students,652
01M019,All Students,654
01M019,All Students,656
01M019,All Students,673
01M019,All Students,670
01M019,All Students,668
01M019,All Students,668
01M019,All Students,649
01M019,All Students,s
01M019,All Students,
01M019,All Students,
01M019,All Students,
01M019,All Students,
01M019,All Students,
01M019,All Students,663
01M019,All Students,663
01M020,All Students,667
01M020,All Students,657
01M020,All Students,663
01M020,All Students,660
01M020,All Students,657
01M020,All Students,657
01M020,All Students,654
01M020,All Students,666
01M020,All Students,657
01M020,All Students,663
01M020,All Students,666
01M020,All Students,667
01M020,All Students,657
01M020,All Students,660
01M020,All Students,657
01M020,All Students,662
01M020,All Students,666
01M020,All Students,670
01M020,All Students,679
01M020,All Students,666
01M020,All Students,659
01M020,All Students,657
01M020,All Students,
01M020,All Students,
01M020,All Students,
01M020,All Students,
01M020,All Students,
01M020,All Students,660
01M020,All Students,658
01M034,All Students,657
01M034,All Students,645
01M034,All Students,659
01M034,All Students,664
01M034,All Students,667
01M034,All Students,672
01M034,All Students,655
01M034,All Students,629
01M034,All Students,645
01M034,All Students,642
01M034,All Students,664
01M034,All Students,658
01M034,All Students,669
01M034,All Students,671
01M034,All Students,646
01M034,All Students,632
01M034,All Students,651
01M034,All Students,666
01M034,All Students,664
01M034,All Students,663
01M034,All Students,666
01M034,All Students,628
01M034,All Students,643
01M034,All Students,640
01M034,All Students,648
01M034,All Students,653
01M034,All Students,657
01M034,All Students,656
01M034,All Students,635
01M034,All Students,634
01M034,All Students,650
01M034,All Students,650
01M034,All Students,653
01M034,All Students,656
01M034,All Students,661
01M034,All Students,630
01M034,All Students,639
01M034,All Students,636
01M034,All Students,648
01M034,All Students,636
01M034,All Students,644
01M034,All Students,651
01M034,All Students,
01M034,All Students,
01M034,All Students,
01M034,All Students,
01M034,All Students,
01M034,All Students,659
01M034,All Students,659
01M063,All Students,644
01M063,All Students,653
01M063,All Students,647
01M063,All Students,654
01M063,All Students,665
01M063,All Students,657
01M063,All Students,654
01M063,All Students,657
01M063,All Students,652
01M063,All Students,657
01M063,All Students,647
01M063,All Students,663
01M063,All Students,680
01M063,All Students,665
01M063,All Students,641
01M063,All Students,654
01M063,All Students,656
01M063,All Students,670
01M063,All Students,661
01M063,All Students,668
01M063,All Students,665
01M063,All Students,655
01M063,All Students,
01M063,All Students,
01M063,All Students,
01M063,All Students,
01M063,All Students,
01M063,All Students,668
01M063,All Students,661
01M064,All Students,658
01M064,All Students,661
01M064,All Students,659
01M064,All Students,653
01M064,All Students,657
01M064,All Students,657
01M064,All Students,653
01M064,All Students,649
01M064,All Students,648
01M064,All Students,653
01M064,All Students,671
01M064,All Students,655
01M064,All Students,652
01M064,All Students,664
01M064,All Students,640
01M064,All Students,654
01M064,All Students,665
01M064,All Students,664
01M064,All Students,662
01M064,All Students,662
01M064,All Students,662
01M064,All Students,630
01M064,All Students,
01M064,All Students,
01M064,All Students,
01M064,All Students,
01M064,All Students,
01M064,All Students,657
01M064,All Students,659
01M110,All Students,687
01M110,All Students,667
01M110,All Students,672
01M110,All Students,678
01M110,All Students,674
01M110,All Students,670
01M110,All Students,662
01M110,All Students,662
01M110,All Students,666
01M110,All Students,658
01M110,All Students,670
01M110,All Students,670
01M110,All Students,671
01M110,All Students,676
01M110,All Students,669
01M110,All Students,672
01M110,All Students,667
01M110,All Students,670
01M110,All Students,671
01M110,All Students,671
01M110,All Students,670
01M110,All Students,657
01M110,All Students,649
01M110,All Students,645
01M110,All Students,
01M110,All Students,
01M110,All Students,
01M110,All Students,
01M110,All Students,
01M110,All Students,670
01M110,All Students,670
01M134,All Students,639
01M134,All Students,658
01M134,All Students,644
01M134,All Students,655
01M134,All Students,653
01M134,All Students,653
01M134,All Students,659
01M134,All Students,653
01M134,All Students,644
01M134,All Students,655
01M134,All Students,649
01M134,All Students,663
01M134,All Students,665
01M134,All Students,663
01M134,All Students,639
01M134,All Students,651
01M134,All Students,652
01M134,All Students,678
01M134,All Students,658
01M134,All Students,665
01M134,All Students,660
01M134,All Students,649
01M134,All Students,
01M134,All Students,
01M134,All Students,
01M134,All Students,
01M134,All Students,
01M134,All Students,661
01M134,All Students,660
01M137,All Students,646
01M137,All Students,642
01M137,All Students,668
01M137,All Students,659
01M137,All Students,669
01M137,All Students,649
01M137,All Students,654
01M137,All Students,636
01M137,All Students,641
01M137,All Students,648
01M137,All Students,665
01M137,All Students,669
01M137,All Students,655
01M137,All Students,653
01M137,All Students,631
01M137,All Students,647
01M137,All Students,649
01M137,All Students,655
01M137,All Students,655
01M137,All Students,656
01M137,All Students,658
01M137,All Students,647
01M137,All Students,
01M137,All Students,
01M137,All Students,
01M137,All Students,
01M137,All Students,
01M137,All Students,653
01M137,All Students,655
01M140,All Students,632
01M140,All Students,637
01M140,All Students,638
01M140,All Students,653
01M140,All Students,659
01M140,All Students,653
01M140,All Students,653
01M140,All Students,633
01M140,All Students,637
01M140,All Students,642
01M140,All Students,641
01M140,All Students,651
01M140,All Students,659
01M140,All Students,649
01M140,All Students,638
01M140,All Students,644
01M140,All Students,647
01M140,All Students,662
01M140,All Students,653
01M140,All Students,654
01M140,All Students,660
01M140,All Students,631
01M140,All Students,640
01M140,All Students,648
01M140,All Students,656
01M140,All Students,656
01M140,All Students,650
01M140,All Students,656
01M140,All Students,629
01M140,All Students,647
01M140,All Students,650
01M140,All Students,656
01M140,All Students,657
01M140,All Students,658
01M140,All Students,652
01M140,All Students,633
01M140,All Students,636
01M140,All Students,644
01M140,All Students,643
01M140,All Students,649
01M140,All Students,647
01M140,All Students,649
01M140,All Students,
01M140,All Students,
01M140,All Students,
01M140,All Students,
01M140,All Students,
01M140,All Students,653
01M140,All Students,653
01M142,All Students,646
01M142,All Students,639
01M142,All Students,657
01M142,All Students,661
01M142,All Students,653
01M142,All Students,654
01M142,All Students,660
01M142,All Students,640
01M142,All Students,639
01M142,All Students,641
01M142,All Students,649
01M142,All Students,663
01M142,All Students,664
01M142,All Students,663
01M142,All Students,630
01M142,All Students,645
01M142,All Students,653
01M142,All Students,660
01M142,All Students,664
01M142,All Students,663
01M142,All Students,664
01M142,All Students,636
01M142,All Students,
01M142,All Students,
01M142,All Students,
01M142,All Students,
01M142,All Students,
01M142,All Students,661
01M142,All Students,662
01M184,All Students,697
01M184,All Students,693
01M184,All Students,689
01M184,All Students,693
01M184,All Students,677
01M184,All Students,678
01M184,All Students,677
01M184,All Students,686
01M184,All Students,687
01M184,All Students,694
01M184,All Students,685
01M184,All Students,690
01M184,All Students,695
01M184,All Students,695
01M184,All Students,691
01M184,All Students,683
01M184,All Students,690
01M184,All Students,705
01M184,All Students,706
01M184,All Students,683
01M184,All Students,684
01M184,All Students,682
01M184,All Students,680
01M184,All Students,676
01M184,All Students,685
01M184,All Students,680
01M184,All Students,673
01M184,All Students,675
01M184,All Students,681
01M184,All Students,681
01M184,All Students,683
01M184,All Students,672
01M184,All Students,687
01M184,All Students,680
01M184,All Students,680
01M184,All Students,681
01M184,All Students,672
01M184,All Students,678
01M184,All Students,668
01M184,All Students,669
01M184,All Students,680
01M184,All Students,
01M184,All Students,
01M184,All Students,
01M184,All Students,
01M184,All Students,
01M184,All Students,681
01M184,All Students,682
01M188,All Students,646
01M188,All Students,644
01M188,All Students,637
01M188,All Students,649
01M188,All Students,642
01M188,All Students,654
01M188,All Students,656
01M188,All Students,630
01M188,All Students,652
01M188,All Students,648
01M188,All Students,666
01M188,All Students,662
01M188,All Students,667
01M188,All Students,665
01M188,All Students,639
01M188,All Students,643
01M188,All Students,667
01M188,All Students,665
01M188,All Students,661
01M188,All Students,664
01M188,All Students,660
01M188,All Students,634
01M188,All Students,644
01M188,All Students,645
01M188,All Students,658
01M188,All Students,652
01M188,All Students,653
01M188,All Students,654
01M188,All Students,629
01M188,All Students,643
01M188,All Students,648
01M188,All Students,655
01M188,All Students,654
01M188,All Students,653
01M188,All Students,657
01M188,All Students,627
01M188,All Students,633
01M188,All Students,646
01M188,All Students,650
01M188,All Students,636
01M188,All Students,646
01M188,All Students,650
01M188,All Students,
01M188,All Students,
01M188,All Students,
01M188,All Students,
01M188,All Students,
01M188,All Students,656
01M188,All Students,656
01M292,All Students,645
01M292,All Students,640
01M292,All Students,651
01M292,All Students,647
01M292,All Students,646
01M292,All Students,640
01M292,All Students,631
01M292,All Students,633
01M292,All Students,648
01M292,All Students,648
01M292,All Students,649
01M292,All Students,645
01M292,All Students,638
01M292,All Students,623
01M292,All Students,635
01M292,All Students,631
01M292,All Students,640
01M292,All Students,632
01M292,All Students,637
01M292,All Students,636
01M292,All Students,
01M292,All Students,
01M292,All Students,
01M292,All Students,
01M292,All Students,
01M292,All Students,642
01M292,All Students,637
01M301,All Students,654
01M301,All Students,645
01M301,All Students,655
01M301,All Students,650
01M301,All Students,654
01M301,All Students,655
01M301,All Students,640
01M301,All Students,654
01M301,All Students,653
01M301,All Students,658
01M301,All Students,655
01M301,All Students,654
01M301,All Students,656
01M301,All Students,651
01M301,All Students,646
01M301,All Students,646
01M301,All Students,646
01M301,All Students,643
01M301,All Students,648
01M301,All Students,
01M301,All Students,
01M301,All Students,
01M301,All Students,
01M301,All Students,
01M301,All Students,649
01M301,All Students,653
01M315,All Students,655
01M315,All Students,664
01M315,All Students,664
01M315,All Students,659
01M315,All Students,679
01M315,All Students,677
01M315,All Students,656
01M315,All Students,644
01M315,All Students,646
01M315,All Students,640
01M315,All Students,662
01M315,All Students,666
01M315,All Students,686
01M315,All Students,687
01M315,All Students,658
01M315,All Students,661
01M315,All Students,667
01M315,All Students,664
01M315,All Students,660
01M315,All Students,662
01M315,All Students,682
01M315,All Students,641
01M315,All Students,
01M315,All Students,
01M315,All Students,
01M315,All Students,
01M315,All Students,
01M315,All Students,677
01M315,All Students,676
01M332,All Students,646
01M332,All Students,636
01M332,All Students,654
01M332,All Students,645
01M332,All Students,645
01M332,All Students,652
01M332,All Students,624
01M332,All Students,646
01M332,All Students,652
01M332,All Students,650
01M332,All Students,662
01M332,All Students,643
01M332,All Students,653
01M332,All Students,632
01M332,All Students,634
01M332,All Students,641
01M332,All Students,650
01M332,All Students,642
01M332,All Students,647
01M332,All Students,641
01M332,All Students,
01M332,All Students,
01M332,All Students,
01M332,All Students,
01M332,All Students,
01M332,All Students,645
01M332,All Students,649
01M345,All Students,656
01M345,All Students,659
01M345,All Students,659
01M345,All Students,657
01M345,All Students,657
01M345,All Students,657
01M345,All Students,658
01M345,All Students,658
01M345,All Students,668
01M345,All Students,665
01M345,All Students,660
01M345,All Students,661
01M345,All Students,664
01M345,All Students,656
01M345,All Students,659
01M345,All Students,656
01M345,All Students,647
01M345,All Students,651
01M345,All Students,
01M345,All Students,
01M345,All Students,
01M345,All Students,
01M345,All Students,654
01M345,All Students,656
01M361,All Students,672
01M361,All Students,653
01M361,All Students,666
01M361,All Students,661
01M361,All Students,660
01M361,All Students,664
01M361,All Students,659
01M361,All Students,643
01M361,All Students,658
01M361,All Students,647
01M361,All Students,659
01M361,All Students,677
01M361,All Students,673
01M361,All Students,680
01M361,All Students,676
01M361,All Students,658
01M361,All Students,665
01M361,All Students,678
01M361,All Students,675
01M361,All Students,670
01M361,All Students,669
01M361,All Students,658
01M361,All Students,s
01M361,All Students,
01M361,All Students,
01M361,All Students,
01M361,All Students,
01M361,All Students,
01M361,All Students,670
01M361,All Students,667
01M363,All Students,667
01M363,All Students,681
01M363,All Students,665
01M363,All Students,663
01M363,All Students,667
01M363,All Students,669
01M363,All Students,663
01M363,All Students,659
01M363,All Students,671
01M363,All Students,669
01M363,All Students,670
01M363,All Students,675
01M363,All Students,673
01M363,All Students,680
01M363,All Students,666
01M363,All Students,657
01M363,All Students,664
01M363,All Students,687
01M363,All Students,676
01M363,All Students,672
01M363,All Students,672
01M363,All Students,663
01M363,All Students,
01M363,All Students,
01M363,All Students,
01M363,All Students,
01M363,All Students,
01M363,All Students,671
01M363,All Students,671
01M364,All Students,664
01M364,All Students,673
01M364,All Students,672
01M364,All Students,664
01M364,All Students,668
01M364,All Students,675
01M364,All Students,666
01M364,All Students,670
01M364,All Students,668
01M364,All Students,668
01M364,All Students,668
01M364,All Students,671
01M364,All Students,670
01M364,All Students,678
01M364,All Students,672
01M364,All Students,673
01M364,All Students,666
01M364,All Students,687
01M364,All Students,675
01M364,All Students,669
01M364,All Students,674
01M364,All Students,649
01M364,All Students,
01M364,All Students,
01M364,All Students,
01M364,All Students,
01M364,All Students,
01M364,All Students,671
01M364,All Students,673
01M378,All Students,661
01M378,All Students,654
01M378,All Students,655
01M378,All Students,653
01M378,All Students,662
01M378,All Students,661
01M378,All Students,660
01M378,All Students,651
01M378,All Students,651
01M378,All Students,
01M378,All Students,
01M378,All Students,656
01M378,All Students,655
01M450,All Students,644
01M450,All Students,648
01M450,All Students,657
01M450,All Students,658
01M450,All Students,658
01M450,All Students,662
01M450,All Students,637
01M450,All Students,644
01M450,All Students,653
01M450,All Students,655
01M450,All Students,658
01M450,All Students,657
01M450,All Students,662
01M450,All Students,635
01M450,All Students,639
01M450,All Students,642
01M450,All Students,651
01M450,All Students,655
01M450,All Students,646
01M450,All Students,651
01M450,All Students,
01M450,All Students,
01M450,All Students,
01M450,All Students,
01M450,All Students,
01M450,All Students,654
01M450,All Students,658
01M539,All Students,712
01M539,All Students,706
