Demographic,Mean Scale Score
All Students,651
All Students,635
All Students,646
All Students,644
All Students,652
All Students,647
All Students,651
All Students,621
All Students,648
All Students,633
All Students,637
All Students,647
All Students,660
All Students,655
All Students,625
All Students,637
All Students,643
All Students,658
All Students,656
All Students,656
All Students,658
All Students,639
All Students,
All Students,
All Students,
All Students,
All Students,
All Students,654
All Students,655
All Students,654
All Students,656
All Students,659
All Students,668
All Students,655
All Students,657
All Students,654
All Students,644
All Students,650
All Students,646
All Students,664
All Students,664
All Students,663
All Students,670
All Students,652
All Students,654
All Students,656
All Students,673
All Students,670
All Students,668
All Students,668
All Students,649
All Students,s
All Students,
All Students,
All Students,
All Students,
All Students,
All Students,663
All Students,663
All Students,667
All Students,657
All Students,663
All Students,660
All Students,657
All Students,657
All Students,654
All Students,666
All Students,657
All Students,663
All Students,666
All Students,667
All Students,657
All Students,660
All Students,657
All Students,662
All Students,666
All Students,670
All Students,679
All Students,666
All Students,659
All Students,657
All Students,
All Students,
All Students,
All Students,
All Students,
All Students,660
All Students,658
All Students,657
All Students,645
All Students,659
All Students,664
All Students,667
All Students,672
All Students,655
All Students,629
All Students,645
All Students,642
All Students,664
All Students,658
All Students,669
All Students,671
All Students,646
All Students,632
All Students,651
All Students,666
All Students,664
All Students,663
All Students,666
All Students,628
All Students,643
All Students,640
All Students,648
All Students,653
All Students,657
All Students,656
All Students,635
All Students,634
All Students,650
All Students,650
All Students,653
All Students,656
All Students,661
All Students,630
All Students,639
All Students,636
All Students,648
All Students,636
All Students,644
All Students,651
All Students,
All Students,
All Students,
All Students,
All Students,
All Students,659
All Students,659
All Students,644
All Students,653
All Students,647
All Students,654
All Students,665
All Students,657
All Students,654
All Students,657
All Students,652
All Students,657
All Students,647
All Students,663
All Students,680
All Students,665
All Students,641
All Students,654
All Students,656
All Students,670
All Students,661
All Students,668
All Students,665
All Students,655
All Students,
All Students,
All Students,
All Students,
All Students,
All Students,668
All Students,661
All Students,658
All Students,661
All Students,659
All Students,653
