DBN,School Name,Cohort Year,Local Pct of grads
01M056,CORLEARS SCHOOL,2001,s
01M056,CORLEARS SCHOOL,2001,s
01M056,CORLEARS SCHOOL,2001,s
01M056,CORLEARS SCHOOL,2003,s
01M056,CORLEARS SCHOOL,2003,s
01M056,CORLEARS SCHOOL,2003,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2003,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2003,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2003,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2004,54.10%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2004,53.80%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2004,56.10%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,37.20%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,38.60%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,39.10%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,38.30%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,16.30%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,15.90%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,18.20%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,18.20%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,31.70%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2007,35.60%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2001,30.40%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2001,37.00%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2001,37.00%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2002,42.40%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2002,46.70%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2002,46.70%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,41.80%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,43.10%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,43.80%
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2003,s
