DBN,School Name,Total Grads Pct of cohort
01M056,CORLEARS SCHOOL,s
01M056,CORLEARS SCHOOL,s
01M056,CORLEARS SCHOOL,s
01M056,CORLEARS SCHOOL,s
01M056,CORLEARS SCHOOL,s
01M056,CORLEARS SCHOOL,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,67.30%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,67.20%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,73.20%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,67.20%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,68.80%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,69.70%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,72.30%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,55.10%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,56.40%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,62.00%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,62.00%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,53.20%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,58.40%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,71.90%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,84.40%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,84.40%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,63.50%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,86.50%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,86.50%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,77.00%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,82.80%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,82.00%
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,s
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,67.00%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,74.10%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,77.10%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,52.90%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,57.90%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,69.80%
