Graduation Rate(%),Environment Rating
85.90,6.6
64.60,10.7
72.20,9.2
67.00,4.9
16.30,3.7
52.80,5.9
68.10,7.2
76.20,9.0
70.60,8.5
100,
88.20,12.9
73.80,10.3
57.30,
93.40,9.7
59.60,9.5
64.00,7.8
77.60,11.9
100.00,10.4
77.90,8.5
63.70,6.2
95.80,8.9
79.00,11.1
59.30,
60.20,12.0
58.30,7.2
78.40,6.7
71.10,7.9
58.10,8.5
83.60,9.0
58.40,6.9
44.50,11.6
83.30,9.2
43.80,14.8
70.30,9.5
80.60,12.0
97.30,10.4
53.70,5.3
98.00,6.2
100.00,12.0
100.00,9.1
96.40,10.3
85.20,10.3
56.30,
79.10,9.8
11.30,7.3
62.20,11.7
75.70,11.9
50.80,5.4
12.00,6.3
57.60,9.2
40.80,4.6
50.90,4.4
61.50,11.2
89.10,8.3
83.10,9.1
59.00,11.4
67.20,7.0
79.80,10.9
70.90,8.9
49.30,9.6
62.50,10.6
100.00,13.5
49.10,
66.30,4.6
79.90,9.5
51.90,
51.60,
69.10,
20.90,10.7
88.50,8.0
100.00,11.4
56.10,4.3
91.00,12.3
51.90,8.3
74.20,9.3
80.60,6.6
72.60,9.4
100,
97.70,7.5
100,
58.90,5.7
8.10,11.4
100,
16.90,7.1
78.00,8.0
86.20,7.0
47.30,9.8
27.00,14.6
51.90,10.2
83.20,8.9
73.30,8.8
16.20,10.2
100,
38.40,
65.70,3.3
65.60,10.5
100,11.2
67.80,
75.20,8.2
66.30,
53.20,
76.20,9.7
63.00,
58.60,7.2
62.00,7.9
76.30,11.2
51.30,
56.10,3.9
14.00,
28.60,5.5
71.10,7.7
90.70,11.6
70.70,6.9
55.10,6.3
66.30,8.0
54.50,4.6
81.70,6.2
78.20,8.5
90.30,10.8
84.30,3.6
98.40,11.7
81.10,11.9
73.70,9.9
89.00,8.1
63.40,7.7
45.70,5.4
58.10,13.2
77.60,7.4
56.50,6.6
66.00,5.1
76.70,9.8
75.20,
65.70,11.4
83.80,9.1
98.50,8.4
81.50,10.0
60.00,6.3
72.20,9.9
11.40,10.7
65.00,8.9
70.70,
98.50,7.7
100,
82.90,4.4
94.00,8.0
87.20,14.6
83.30,13.4
60.10,6.8
99.00,8.3
100.00,9.3
60.30,10.7
32.30,4.3
16.90,12.3
76.30,10.2
58.70,8.7
63.10,5.1
78.70,
45.10,11.9
24.30,13.3
5.80,
87.50,10.0
79.30,10.7
67.50,10.8
44.40,
57.80,8.3
98.40,12.2
63.20,6.0
91.50,9.1
68.90,9.5
73.90,
59.80,2.4
60.70,7.8
61.40,8.3
75.70,6.3
72.60,
52.90,10.4
58.50,11.2
79.00,8.8
100,
48.90,6.0
73.30,10.0
72.90,11.5
46.20,4.3
18.20,10.8
72.80,7.7
14.00,11.1
100,
97.50,8.9
8.70,4.6
100,
61.30,7.3
28.90,8.1
71.50,8.4
48.40,10.3
70.30,8.3
15.80,5.9
63.90,7.4
23.00,4.1
51.90,8.6
78.60,9.9
61.10,8.1
68.00,10.3
74.10,10.7
69.50,5.1
59.40,9.1
90.10,11.6
94.80,10.5
67.50,5.3
86.60,9.1
22.70,11.3
97.40,8.7
63.70,6.0
73.00,9.5
100,
91.80,5.9
84.20,9.0
75.40,7.9
96.70,9.2
72.00,8.4
64.80,8.4
87.70,10.3
56.90,6.9
92.40,9.3
82.10,6.7
97.80,13.3
48.60,
80.30,
64.20,2.3
87.60,12.3
60.50,5.8
80.20,13.1
98.60,10.1
36.90,
47.50,8.9
100,
34.50,9.4
92.80,5.9
74.70,7.6
70.80,12.9
100,
62.30,7.0
67.10,5.6
86.60,8.1
100.00,7.9
17.30,9.0
57.30,3.7
78.80,
57.60,4.8
40.40,7.7
100,
72.60,9.2
52.30,5.3
60.70,7.2
24.40,
65.90,7.2
55.90,3.9
38.30,
68.90,12.8
98.70,12.0
98.20,
40.00,9.3
77.10,8.1
67.90,8.2
66.70,6.4
17.20,9.9
71.80,4.8
42.70,
68.50,12.2
31.30,12.1
92.60,5.0
47.50,11.1
91.40,8.0
96.40,11.2
85.70,3.6
61.90,8.3
57.30,8.0
70.50,7.8
85.00,8.2
100,
95.10,8.6
69.80,8.1
61.00,4.0
64.40,10.1
66.10,3.1
35.20,8.6
69.60,11.5
13.90,12.7
22.10,
55.60,9.2
68.30,5.7
81.10,8.5
87.50,9.5
59.30,8.9
29.50,
77.50,13.7
62.30,
72.70,7.8
62.90,10.1
63.00,
87.70,5.2
37.40,7.3
43.60,
64.40,8.9
56.90,8.9
72.60,9.2
82.00,8.4
84.40,8.9
55.80,8.9
38.60,9.1
50.80,7.9
77.10,10.8
100,
85.30,7.0
47.70,7.1
62.10,7.6
43.90,
66.70,9.7
68.90,8.5
50.60,4.0
48.20,6.0
46.10,3.7
97.20,
76.30,9.1
82.10,7.8
77.50,7.9
30.10,6.0
