Demographic,Mean Scale Score
Asian,s
Black,662
Hispanic,670
Asian,s
Black,s
Hispanic,678
White,s
Asian,s
Black,652
Hispanic,671
White,s
Asian,s
Black,668
Hispanic,667
Asian,s
Black,s
Hispanic,680
White,s
Asian,s
Black,s
Hispanic,668
Asian,s
Black,672
Hispanic,682
Asian,s
Black,625
Hispanic,632
Asian,s
Black,654
Hispanic,660
White,s
Asian,s
Black,627
Hispanic,658
White,s
Asian,s
Black,643
Hispanic,656
White,s
Asian,s
Black,653
Hispanic,665
Asian,s
Black,s
Hispanic,669
White,s
Asian,s
Asian,s
Black,671
Hispanic,665
White,s
Asian,s
Black,632
Hispanic,631
White,s
Asian,s
Black,642
Hispanic,635
Asian,s
Black,657
Hispanic,663
White,s
Asian,s
Black,664
Hispanic,659
White,s
Asian,s
Black,631
Hispanic,667
White,s
Asian,s
Black,661
Hispanic,666
Asian,s
Black,s
Hispanic,671
White,s
Asian,s
Black,645
Hispanic,634
White,s
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,686
Black,667
Hispanic,668
White,s
Asian,691
Black,667
Hispanic,672
White,s
Asian,s
Black,657
Hispanic,672
White,687
Asian,s
Black,678
Hispanic,673
White,s
Asian,699
Black,669
Hispanic,673
White,s
Asian,700
Black,680
Hispanic,677
White,708
Asian,s
Black,682
Hispanic,676
White,s
Asian,s
Black,681
Hispanic,676
Asian,687
Black,679
Hispanic,679
White,s
Asian,s
Black,660
Hispanic,655
White,s
Black,664
Hispanic,663
White,s
Asian,s
Black,669
Hispanic,659
White,s
Asian,s
Black,700
Hispanic,693
White,s
Asian,s
Black,677
Hispanic,673
White,s
Asian,s
Black,683
Hispanic,675
White,s
Asian,s
Black,675
Hispanic,676
Asian,s
Black,642
Hispanic,640
White,s
Asian,s
Black,667
Hispanic,663
White,s
Asian,719
Black,651
Hispanic,666
White,s
Asian,710
Black,689
Hispanic,685
White,s
Asian,699
Black,683
Hispanic,685
White,s
Asian,s
Black,689
Hispanic,683
White,s
Asian,s
Black,691
Hispanic,693
White,s
Asian,s
Black,653
Hispanic,647
White,657
Hispanic,s
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,
Black,
Hispanic,
White,
Asian,694
Black,685
Hispanic,678
White,697
Asian,696
Black,682
Hispanic,682
White,706
Asian,698
Black,s
Hispanic,663
White,s
Asian,693
Black,s
Hispanic,677
White,s
Asian,708
Black,s
Hispanic,679
White,s
Asian,703
Black,685
Hispanic,678
White,s
Asian,698
Black,679
Hispanic,680
Asian,690
Black,686
Hispanic,679
Asian,695
Black,670
