Demographic,Mean Scale Score
Female,675
Male,657
Female,679
Male,668
Female,661
Male,674
Female,667
Male,668
Female,681
Male,673
Female,672
Male,671
Female,675
Male,684
Female,628
Male,630
Female,660
Male,657
Female,661
Male,651
Female,647
Male,660
Female,652
Male,673
Female,666
Male,669
Female,678
Male,666
Female,637
Male,625
Female,640
Male,634
Female,655
Male,665
Female,659
Male,662
Female,652
Male,668
Female,664
Male,669
Female,663
Male,671
Female,633
Male,646
Female,645
Female,s
Male,638
Female,656
Male,650
Female,659
Male,662
Female,657
Male,663
Female,661
Male,671
Female,668
Male,670
Female,671
Male,672
Female,678
Male,667
Female,679
Male,676
Female,677
Male,676
Female,690
Male,683
Female,687
Male,677
Male,s
Female,676
Male,682
Female,684
Male,681
Female,660
Male,658
Female,673
Male,654
Female,668
Male,665
Female,694
Male,696
Female,684
Male,674
Male,s
Female,688
Male,672
Female,677
Male,679
Female,647
Male,644
Female,665
Male,666
Female,670
Male,665
Female,692
Male,690
Female,687
Male,s
Male,688
Female,688
Male,689
Female,699
Male,692
Female,644
Male,660
Female,s
Female,s
Male,657
Female,672
Male,665
Female,671
Male,668
Female,692
Male,689
Female,686
Male,s
Male,s
Female,685
Male,681
Female,686
Male,684
Female,672
Male,677
Female,683
Male,677
Female,679
Male,692
Female,689
Male,680
Female,685
Male,686
Male,s
Female,678
Male,686
Male,s
Female,684
Male,688
Female,673
Male,679
Female,669
Male,676
Female,673
Male,674
Female,683
Male,690
Female,683
Male,676
Female,678
Male,680
Female,679
Male,684
Female,667
Male,673
Female,675
Male,675
Female,671
Male,681
Female,685
Male,683
Female,682
Male,693
Female,687
Male,687
Female,672
Male,674
Female,661
Male,667
Female,668
Male,674
Female,676
Male,676
Female,674
Male,682
Female,685
Male,683
Female,683
Male,s
Male,s
Female,681
Male,684
Female,679
Male,681
Female,672
Male,648
Female,658
Male,663
Female,663
Male,675
Female,683
Male,694
Female,725
Male,716
Female,705
Male,710
Female,677
Male,683
Female,653
Male,652
Female,673
Male,662
Female,669
Male,656
Female,677
Male,698
Female,670
Male,689
Female,686
Male,685
Female,703
Male,718
Female,645
Male,644
Female,644
Male,649
Female,678
Male,656
Female,676
Male,666
Female,668
Male,689
Female,670
Male,681
Female,692
Male,683
Female,638
Male,647
Female,640
Male,646
Female,633
Male,655
Female,656
Male,651
Female,668
Male,655
Female,684
Male,681
Female,682
Male,684
Female,645
Male,621
Female,642
Male,643
Female,661
Male,665
Female,654
Male,658
Female,665
Male,655
Female,671
Male,655
Female,681
Male,686
Female,627
Male,607
Female,643
Male,628
Female,651
Male,645
Female,652
Male,653
Female,644
Male,657
Female,650
Male,641
Female,683
Male,670
Female,644
Male,634
Female,648
Male,647
Female,657
