DBN,Mean Scale Score
01M015,667
01M015,672
01M015,668
01M015,668
01M015,677
01M015,671
01M015,678
01M015,629
01M015,659
01M015,655
01M015,655
01M015,663
01M015,668
01M015,670
01M015,630
01M015,637
01M015,660
01M015,661
01M015,662
01M015,667
01M015,667
01M015,639
01M015,
01M015,
01M015,
01M015,
01M015,
01M015,669
01M015,672
01M019,673
01M019,678
01M019,676
01M019,687
01M019,682
01M019,679
01M019,682
01M019,659
01M019,664
01M019,666
01M019,695
01M019,679
01M019,681
01M019,678
01M019,645
01M019,666
01M019,668
01M019,691
01M019,688
01M019,688
01M019,696
01M019,654
01M019,s
01M019,
01M019,
01M019,
01M019,
01M019,
01M019,683
01M019,685
01M020,674
01M020,681
01M020,685
01M020,684
01M020,685
01M020,682
01M020,686
01M020,676
01M020,672
01M020,673
01M020,686
01M020,679
01M020,679
01M020,681
01M020,670
01M020,675
01M020,676
01M020,684
01M020,688
01M020,687
01M020,673
01M020,664
01M020,
01M020,
01M020,
01M020,
01M020,
01M020,682
01M020,680
01M034,660
01M034,660
01M034,671
01M034,688
01M034,721
01M034,708
01M034,680
01M034,652
01M034,668
01M034,663
01M034,690
01M034,679
01M034,685
01M034,710
01M034,645
01M034,647
01M034,665
01M034,672
01M034,682
01M034,675
01M034,688
01M034,641
01M034,643
01M034,645
01M034,653
01M034,662
01M034,682
01M034,683
01M034,634
01M034,642
01M034,663
01M034,656
01M034,660
01M034,664
01M034,684
01M034,617
01M034,636
01M034,648
01M034,653
01M034,651
01M034,646
01M034,678
01M034,
01M034,
01M034,
01M034,
01M034,
01M034,673
01M034,685
01M063,655
01M063,675
01M063,671
01M063,678
01M063,698
01M063,682
01M063,683
01M063,677
01M063,661
01M063,671
01M063,659
01M063,697
01M063,696
01M063,689
01M063,656
01M063,670
01M063,657
01M063,676
01M063,673
01M063,688
01M063,681
01M063,672
01M063,
01M063,
01M063,
01M063,
01M063,
01M063,689
01M063,684
01M064,668
01M064,681
01M064,680
01M064,676
01M064,678
01M064,673
01M064,679
01M064,659
01M064,659
01M064,672
01M064,690
01M064,674
01M064,666
01M064,686
01M064,661
01M064,667
01M064,672
01M064,673
01M064,683
01M064,677
01M064,677
01M064,627
01M064,
01M064,
01M064,
01M064,
01M064,
01M064,672
01M064,681
01M110,691
01M110,695
01M110,698
01M110,702
01M110,703
01M110,695
01M110,691
01M110,683
01M110,695
01M110,687
01M110,695
01M110,701
01M110,697
01M110,701
01M110,683
01M110,679
01M110,680
01M110,679
01M110,686
01M110,696
01M110,691
01M110,666
01M110,656
01M110,645
01M110,
01M110,
01M110,
01M110,
01M110,
01M110,696
01M110,695
01M134,654
01M134,688
01M134,680
01M134,691
01M134,685
01M134,682
01M134,690
01M134,667
01M134,670
01M134,690
01M134,680
01M134,691
01M134,687
01M134,682
01M134,651
01M134,674
01M134,674
01M134,689
01M134,675
01M134,680
01M134,678
01M134,653
01M134,
01M134,
01M134,
01M134,
01M134,
01M134,683
01M134,684
01M137,657
01M137,667
01M137,685
01M137,681
01M137,700
01M137,673
01M137,678
01M137,660
01M137,660
01M137,651
01M137,687
01M137,680
01M137,666
01M137,673
01M137,629
01M137,657
01M137,662
01M137,656
01M137,661
01M137,674
01M137,666
01M137,649
01M137,
01M137,
01M137,
01M137,
01M137,
01M137,671
01M137,672
01M140,656
01M140,665
01M140,668
01M140,686
01M140,683
01M140,668
01M140,672
01M140,656
01M140,671
01M140,660
01M140,659
01M140,669
01M140,690
01M140,661
01M140,650
01M140,659
01M140,663
01M140,678
01M140,667
01M140,660
01M140,662
01M140,636
01M140,647
01M140,662
01M140,668
01M140,668
01M140,666
01M140,674
01M140,629
01M140,654
01M140,660
01M140,677
01M140,667
01M140,667
01M140,664
01M140,629
01M140,633
01M140,657
01M140,653
01M140,667
01M140,665
01M140,668
01M140,
01M140,
01M140,
01M140,
01M140,
01M140,667
01M140,668
01M142,655
01M142,665
01M142,679
01M142,682
01M142,684
01M142,688
01M142,687
01M142,656
01M142,656
01M142,656
01M142,671
01M142,671
01M142,669
01M142,679
01M142,639
01M142,654
01M142,668
01M142,679
01M142,671
01M142,673
01M142,676
01M142,650
01M142,
01M142,
01M142,
01M142,
01M142,
01M142,676
01M142,680
01M184,719
01M184,715
01M184,721
01M184,739
01M184,722
01M184,707
01M184,709
01M184,728
01M184,725
01M184,723
01M184,724
01M184,723
01M184,729
01M184,720
01M184,728
01M184,721
01M184,728
01M184,723
01M184,718
01M184,731
01M184,735
01M184,720
01M184,724
01M184,726
01M184,726
01M184,729
01M184,729
01M184,724
01M184,685
01M184,714
01M184,708
01M184,726
01M184,727
01M184,731
01M184,722
01M184,698
01M184,718
01M184,719
01M184,723
01M184,727
01M184,723
01M184,
01M184,
01M184,
01M184,
01M184,
01M184,726
01M184,722
01M188,657
01M188,657
01M188,662
01M188,664
01M188,669
01M188,677
01M188,680
01M188,641
01M188,669
01M188,672
01M188,701
01M188,671
01M188,677
01M188,684
01M188,629
01M188,642
01M188,675
01M188,681
01M188,661
01M188,672
01M188,671
01M188,637
01M188,657
01M188,656
01M188,665
01M188,656
01M188,676
01M188,661
01M188,621
01M188,654
01M188,660
01M188,663
01M188,653
01M188,668
01M188,663
01M188,627
01M188,649
01M188,665
01M188,667
01M188,657
01M188,658
01M188,684
01M188,
01M188,
01M188,
01M188,
01M188,
01M188,670
01M188,672
01M292,652
01M292,651
01M292,662
01M292,665
01M292,644
01M292,633
01M292,634
01M292,646
01M292,657
01M292,651
01M292,659
01M292,654
01M292,648
01M292,627
01M292,640
01M292,647
01M292,655
01M292,642
01M292,650
01M292,660
01M292,
01M292,
01M292,
01M292,
01M292,
01M292,650
01M292,650
01M301,641
01M301,647
01M301,657
01M301,650
01M301,661
01M301,659
01M301,639
01M301,646
01M301,657
01M301,665
01M301,655
01M301,657
01M301,660
01M301,639
01M301,643
01M301,649
01M301,662
01M301,663
01M301,674
01M301,
01M301,
01M301,
01M301,
01M301,
01M301,661
01M301,664
01M315,653
01M315,666
01M315,687
01M315,687
01M315,699
01M315,698
01M315,680
01M315,660
01M315,655
01M315,671
01M315,674
01M315,684
01M315,699
01M315,708
01M315,636
01M315,668
01M315,662
01M315,679
01M315,670
01M315,682
01M315,722
01M315,634
01M315,
01M315,
01M315,
01M315,
01M315,
01M315,695
01M315,704
01M332,660
01M332,648
01M332,662
01M332,642
01M332,649
01M332,660
01M332,620
01M332,634
01M332,660
01M332,656
01M332,655
01M332,647
01M332,637
01M332,638
01M332,613
01M332,641
01M332,658
01M332,647
01M332,652
01M332,656
01M332,
01M332,
01M332,
01M332,
01M332,
01M332,650
01M332,653
01M345,665
01M345,677
01M345,669
01M345,677
01M345,667
01M345,670
01M345,667
01M345,669
01M345,677
01M345,670
01M345,670
01M345,666
01M345,676
01M345,668
01M345,666
01M345,666
01M345,671
01M345,670
01M345,
01M345,
01M345,
01M345,
01M345,669
01M345,669
01M361,672
01M361,665
01M361,684
01M361,676
01M361,685
01M361,683
01M361,678
01M361,652
01M361,669
01M361,673
01M361,678
01M361,677
01M361,678
01M361,686
01M361,662
01M361,668
01M361,693
01M361,679
01M361,683
01M361,681
01M361,676
01M361,654
01M361,s
01M361,
01M361,
01M361,
01M361,
01M361,
01M361,680
01M361,680
01M363,666
01M363,690
01M363,686
01M363,679
01M363,690
01M363,696
01M363,689
01M363,675
01M363,667
01M363,671
01M363,674
01M363,680
01M363,684
01M363,690
01M363,656
01M363,661
01M363,659
01M363,673
01M363,675
01M363,687
01M363,687
01M363,659
01M363,
01M363,
01M363,
01M363,
01M363,
01M363,689
01M363,688
01M364,666
01M364,672
01M364,686
01M364,674
01M364,680
01M364,689
01M364,682
01M364,670
01M364,666
01M364,685
01M364,679
01M364,682
01M364,679
01M364,687
01M364,661
01M364,665
01M364,678
01M364,689
01M364,678
01M364,690
01M364,691
01M364,642
01M364,
01M364,
01M364,
01M364,
01M364,
01M364,686
01M364,687
01M378,656
01M378,678
01M378,677
01M378,676
01M378,669
01M378,683
01M378,681
01M378,675
01M378,682
01M378,
01M378,
01M378,678
01M378,679
01M450,663
01M450,656
01M450,678
01M450,682
01M450,677
01M450,684
01M450,637
01M450,647
01M450,666
01M450,681
01M450,685
01M450,685
01M450,677
01M450,643
01M450,640
01M450,654
01M450,667
01M450,675
01M450,673
01M450,681
01M450,
01M450,
01M450,
01M450,
01M450,
01M450,679
01M450,681
01M539,733
01M539,709
01M539,726
01M539,745
01M539,737
01M539,714
01M539,724
01M539,724
01M539,727
01M539,712
01M539,733
01M539,737
01M539,739
01M539,730
01M539,716
01M539,733
01M539,731
01M539,715
01M539,726
01M539,741
01M539,709
01M539,750
01M539,721
01M539,739
01M539,735
01M539,732
01M539,738
01M539,715
01M539,719
01M539,738
01M539,720
01M539,732
01M539,732
01M539,745
01M539,702
01M539,707
01M539,729
01M539,725
01M539,718
01M539,724
01M539,723
01M539,
01M539,
01M539,
01M539,
01M539,
01M539,728
01M539,734
01M839,670
01M839,685
01M839,683
01M839,685
01M839,682
01M839,691
01M839,659
