DBN,SCHOOL,SCHOOL LEVEL,ENVIRONMENT RATING
01M015,P.S. 015 Roberto Clemente,Elementary,6.4
01M019,P.S. 019 Asher Levy,Elementary,7.8
01M020,P.S. 020 Anna Silver,Elementary,7.7
01M034,P.S. 034 Franklin D. Roosevelt,K-8,7.5
01M063,P.S. 063 William McKinley,Elementary,8.1
01M064,P.S. 064 Robert Simon,Elementary,9.7
01M110,P.S. 110 Florence Nightingale,Elementary,4.1
01M134,P.S. 134 Henrietta Szold,Elementary,4.2
01M137,P.S. 137 John L. Bernstein,Elementary,5.1
01M140,P.S. 140 Nathan Straus,K-8,8.4
01M142,P.S. 142 Amalia Castro,Elementary,10
01M184,P.S. 184m Shuang Wen,K-8,9.8
01M188,P.S. 188 The Island School,K-8,4.1
01M292,Henry Street School for International Studies,Middle,5.1
01M292,Henry Street School for International Studies,High School,6.9
01M301,"Technology, Arts, and Sciences Studio",Middle,7
01M315,The East Village Community School,Elementary,8.6
01M332,University Neighborhood Middle School,Middle,10.6
01M345,"Collaborative Academy of Science, Technology, & La",Middle,6.8
01M361,The Children's Workshop School,Elementary,7.7
01M363,Neighborhood School,Elementary,5.1
01M364,Earth School,Elementary,11.1
01M378,School for Global Leaders,Middle,8.6
01M448,University Neighborhood High School,High School,6.9
01M450,East Side Community School,Middle,12.5
01M450,East Side Community School,High School,12.9
01M458,Forsyth Satellite Academy,Transfer High School,
01M509,Marta Valle High School,High School,6.7
01M515,Lower East Side Preparatory High School,Transfer High School,9.4
01M539,"New Explorations into Science, Technology and Math",K-8,6.8
01M539,"New Explorations into Science, Technology and Math High School",High School,7.7
01M650,Cascades High School,Transfer High School,11.8
01M696,Bard High School Early College,High School,11.7
01M839,Tompkins Square Middle School,Middle,12.9
02M001,P.S. 001 Alfred E. Smith,Elementary,4.6
02M002,P.S. 002 Meyer London,Elementary,8.9
02M003,P.S. 003 Charrette School,Elementary,8.9
02M006,P.S. 006 Lillie D. Blake,Elementary,5.8
02M011,P.S. 011 William T. Harris,Elementary,11.3
02M033,P.S. 033 Chelsea Prep,Elementary,13.3
02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,9.6
02M041,P.S. 041 Greenwich Village,Elementary,11.9
02M042,P.S. 042 Benjamin Altman,Elementary,10.1
02M047,47 The American Sign Language and English Secondary School,High School,11.5
02M051,P.S. 051 Elias Howe,Elementary,11
02M059,P.S. 059 Beekman Hill International,Elementary,9.6
02M077,P.S. 77 Lower Lab School,Elementary,9.2
02M089,P.S. 89,Elementary,8.8
02M104,J.H.S. 104 Simon Baruch,Middle,6.9
02M111,P.S. 111 Adolph S. Ochs,K-8,5
02M114,East Side Middle School,Middle,13.1
02M116,P.S. 116 Mary Lindley Murray,Elementary,8.8
02M124,P.S. 124 Yung Wing,Elementary,7.4
02M126,P.S. 126 Jacob August Riis,K-8,6
02M130,P.S. 130 Hernando De Soto,Elementary,12
02M131,M.S. 131,Middle,8.7
02M150,P.S. 150,Elementary,10.4
02M158,P.S. 158 Bayard Taylor,Elementary,3.9
02M167,J.H.S. 167 Robert F. Wagner,Middle,7
02M183,P.S. 183 Robert L. Stevenson,Elementary,6
02M198,P.S. 198 Isador E. Ida Straus,Elementary,1.9
02M212,P.S. 212 Midtown West,Elementary,10.6
02M217,P.S./I.S. 217 Roosevelt Island,K-8,4.8
02M225,Ella Baker School,K-8,7.7
02M234,P.S. 234 Independence School,Elementary,9.2
02M255,M.S. 255 Salk School of Science,Middle,11.4
02M260,M.S. 260 Clinton School Writers & Artists,Middle,6.7
02M276,BATTERY PARK CITY SCHOOL,Middle,10
